Age Gender University_GPA Field_of_Study Internships_Completed Soft_Skills_Score Networking_Score Job_Offers Starting_Salary Career_Satisfaction
29 Female 2.58 Engineering 3 2 10 1 57500.0 1
29 Female 3.85 Arts 3 7 8 1 43000.0 8
20 Female 3.1 Computer Science 3 7 9 3 25000.0 3
29 Female 3.58 Business 2 8 9 3 50200.0 7
24 Female 2.43 Law 0 9 2 4 53400.0 9
21 Female 2.69 Mathematics 0 6 9 2 56300.0 2
26 Female 3.75 Medicine 2 3 8 0 38400.0 10
20 Male 2.1 Mathematics 1 5 9 4 53200.0 10
22 Male 3.02 Mathematics 0 3 9 3 78700.0 7
20 Female 2.96 Engineering 4 10 3 5 42200.0 1
24 Male 3.5 Engineering 0 9 5 1 65500.0 5
22 Male 2.56 Engineering 2 5 3 1 49800.0 7
26 Male 2.44 Business 1 7 6 4 47900.0 5
24 Male 3.85 Law 0 10 10 1 52000.0 5
19 Male 3.14 Computer Science 2 7 5 1 42000.0 6
21 Male 2.21 Arts 4 7 2 5 52100.0 10
26 Female 2.39 Law 3 10 3 2 64500.0 10
29 Female 4.0 Arts 4 4 7 3 63500.0 6
19 Male 2.39 Mathematics 4 4 10 4 67200.0 10
27 Male 3.22 Law 1 3 10 5 40600.0 2
26 Female 2.84 Medicine 0 4 5 0 50900.0 10
27 Male 3.77 Computer Science 3 9 3 0 82700.0 10
22 Female 3.51 Computer Science 2 5 4 5 35400.0 9
19 Female 3.19 Business 3 6 6 3 48300.0 3
21 Female 2.02 Law 0 4 8 0 31800.0 1
29 Male 3.76 Engineering 1 1 7 5 51600.0 1
29 Female 2.89 Computer Science 0 7 3 1 65600.0 9
24 Male 3.86 Law 2 7 2 2 75700.0 6
29 Female 2.99 Engineering 3 6 3 4 35000.0 7
25 Female 3.39 Business 4 4 5 4 37600.0 2
20 Male 2.14 Mathematics 0 10 7 1 73700.0 1
18 Male 3.49 Mathematics 1 8 8 3 25000.0 2
21 Male 2.68 Law 1 8 6 2 40400.0 3
19 Female 2.7 Law 3 1 2 0 64600.0 3
25 Male 2.24 Medicine 4 9 2 4 25000.0 8
21 Female 2.29 Law 2 8 10 4 34300.0 4
19 Male 2.37 Medicine 4 2 5 3 68900.0 1
23 Female 2.66 Engineering 3 9 5 2 25000.0 2
23 Female 3.78 Mathematics 4 4 1 5 25000.0 9
27 Female 2.74 Engineering 3 10 1 0 62600.0 2
21 Female 3.45 Mathematics 4 6 9 4 74400.0 9
23 Male 2.17 Mathematics 0 2 7 4 71500.0 5
19 Male 3.18 Computer Science 1 10 8 0 25000.0 4
27 Female 2.96 Business 3 4 5 2 71900.0 4
29 Male 3.96 Medicine 3 2 3 2 51200.0 3
19 Male 3.69 Mathematics 1 9 3 2 37900.0 2
27 Male 2.91 Computer Science 2 9 3 4 36000.0 8
21 Male 3.55 Arts 3 5 1 5 60500.0 6
25 Male 2.39 Computer Science 0 3 3 1 56600.0 9
24 Female 3.12 Engineering 4 3 2 4 71100.0 2
29 Male 2.15 Arts 0 1 8 3 40600.0 1
26 Female 2.7 Computer Science 3 8 10 3 42700.0 8
25 Male 2.45 Law 2 3 10 5 62100.0 8
22 Female 3.44 Business 3 4 6 4 38100.0 5
19 Male 2.98 Medicine 2 2 5 4 62300.0 2
22 Female 3.5 Law 1 8 1 0 33300.0 10
25 Female 3.03 Arts 4 3 2 2 80600.0 5
27 Male 2.17 Mathematics 0 2 2 5 79900.0 8
26 Female 3.47 Business 2 1 7 0 39000.0 4
29 Other 3.67 Mathematics 0 10 7 5 50900.0 2
29 Female 3.81 Computer Science 1 2 6 3 51800.0 3
29 Female 3.14 Law 3 2 8 3 48000.0 3
26 Male 3.51 Engineering 2 4 4 1 35000.0 9
18 Female 3.5 Engineering 4 1 9 2 51600.0 3
26 Male 2.31 Business 2 1 8 2 27800.0 1
24 Male 2.33 Engineering 3 6 3 5 73000.0 7
26 Other 2.14 Medicine 3 5 3 3 74000.0 1
25 Male 2.64 Mathematics 4 1 9 0 70200.0 6
18 Female 2.95 Business 4 6 9 4 71300.0 10
29 Female 4.0 Business 1 8 5 2 61100.0 4
25 Female 2.86 Engineering 0 5 10 4 36400.0 7
25 Other 3.45 Business 2 3 1 3 30300.0 7
28 Male 3.39 Computer Science 1 3 3 1 33900.0 7
20 Male 2.41 Arts 0 2 5 3 56800.0 6
18 Male 2.12 Law 1 9 4 4 29900.0 7
25 Male 3.09 Arts 4 9 4 3 52600.0 8
20 Male 3.4 Mathematics 4 7 1 2 58300.0 3
20 Male 4.0 Law 3 1 6 5 47200.0 5
18 Female 2.72 Engineering 2 1 10 5 50600.0 10
28 Female 3.79 Medicine 2 4 4 4 89100.0 9
22 Male 2.76 Medicine 2 2 1 4 49500.0 8
27 Female 3.38 Engineering 1 3 10 1 56100.0 6
24 Male 3.2 Mathematics 1 2 6 2 67600.0 9
27 Male 2.11 Engineering 2 1 5 0 63600.0 10
26 Female 2.16 Business 3 3 5 1 62500.0 5
29 Female 2.04 Medicine 0 7 2 2 54100.0 2
24 Female 2.74 Arts 1 10 1 5 54200.0 9
26 Male 3.49 Engineering 2 9 7 0 25000.0 5
25 Female 2.35 Mathematics 4 10 5 5 76000.0 8
29 Female 3.21 Mathematics 1 9 3 4 41100.0 8
19 Female 2.58 Arts 0 8 6 5 63200.0 4
18 Female 3.59 Law 1 6 3 1 46500.0 4
24 Female 3.6 Arts 0 1 6 4 96700.0 1
24 Female 3.55 Mathematics 0 8 6 4 37600.0 5
25 Female 3.05 Medicine 1 8 9 4 85500.0 9
22 Other 2.57 Law 0 9 8 2 48100.0 5
20 Female 3.62 Arts 1 10 1 0 61000.0 5
29 Male 2.37 Business 1 6 7 2 50300.0 6
25 Female 2.58 Business 3 3 9 4 73800.0 6
23 Male 2.37 Medicine 4 6 2 1 52000.0 8
28 Male 3.35 Business 0 8 9 5 54800.0 1
20 Female 3.37 Engineering 1 7 6 4 51500.0 5
18 Female 3.31 Law 0 8 3 0 58500.0 9
20 Female 2.83 Medicine 1 3 8 2 36100.0 3
22 Male 2.2 Law 1 8 7 0 25000.0 7
20 Female 3.82 Mathematics 1 5 8 2 56900.0 7
18 Male 3.02 Arts 4 7 8 5 82000.0 10
22 Other 2.81 Engineering 0 4 7 0 43800.0 3
27 Other 3.18 Medicine 4 3 1 0 61500.0 7
24 Female 2.39 Arts 4 6 10 2 27800.0 3
24 Female 2.27 Arts 4 9 10 2 41700.0 6
28 Female 2.81 Arts 4 4 10 2 50700.0 8
26 Female 2.45 Arts 3 9 8 3 49600.0 8
27 Male 2.49 Arts 0 3 5 5 66800.0 6
27 Male 3.79 Medicine 0 6 2 0 25000.0 2
29 Female 3.06 Business 1 5 2 3 47500.0 1
20 Female 2.97 Arts 0 9 2 3 40600.0 3
24 Male 3.38 Mathematics 4 6 9 4 36300.0 3
18 Female 3.9 Mathematics 2 2 5 3 39000.0 7
21 Male 2.22 Engineering 0 4 3 3 54100.0 4
21 Female 3.67 Medicine 2 5 6 2 52200.0 2
22 Female 3.17 Computer Science 3 9 9 2 47100.0 2
24 Female 2.29 Business 1 1 9 1 29700.0 7
24 Female 2.59 Engineering 1 9 9 5 46000.0 8
28 Male 2.96 Mathematics 1 10 10 0 66900.0 5
21 Male 3.38 Arts 3 1 4 5 25400.0 2
24 Female 2.49 Medicine 4 1 5 3 39300.0 3
28 Female 3.07 Medicine 2 4 1 3 32800.0 1
20 Male 3.37 Arts 0 6 10 0 33400.0 10
23 Female 2.9 Mathematics 4 2 6 5 46400.0 4
29 Male 3.73 Engineering 1 1 2 2 40400.0 7
19 Female 3.74 Medicine 1 4 7 2 37100.0 10
27 Female 2.94 Law 4 8 4 0 50300.0 9
26 Male 3.95 Mathematics 2 6 4 0 26500.0 3
22 Male 2.15 Mathematics 4 5 9 2 79900.0 4
23 Female 2.01 Business 3 1 1 0 41500.0 6
29 Female 2.76 Engineering 1 3 6 5 44400.0 1
29 Female 3.2 Mathematics 2 7 2 2 44900.0 5
29 Female 3.26 Arts 0 10 6 0 35500.0 10
29 Female 2.95 Mathematics 1 3 7 2 68800.0 5
21 Other 2.25 Engineering 4 5 3 1 53900.0 10
28 Female 2.34 Law 2 6 4 2 25000.0 9
27 Female 3.7 Mathematics 1 9 2 2 31400.0 9
24 Male 3.74 Engineering 0 3 7 3 40300.0 1
29 Male 3.35 Mathematics 0 6 9 5 59500.0 3
26 Female 3.33 Computer Science 4 2 5 2 67900.0 4
24 Male 3.2 Arts 3 9 5 0 48000.0 1
18 Female 2.41 Business 4 9 9 4 73800.0 9
18 Female 2.86 Arts 2 7 8 0 61600.0 2
26 Female 3.39 Computer Science 4 9 1 3 82200.0 5
28 Male 3.07 Arts 2 4 2 0 41600.0 3
26 Male 2.04 Arts 3 10 7 1 43900.0 4
21 Male 3.91 Business 4 1 3 4 53200.0 4
26 Male 3.69 Computer Science 0 1 6 4 38900.0 2
20 Male 2.52 Arts 2 2 1 5 61700.0 2
24 Female 3.23 Law 2 10 8 3 31500.0 8
23 Female 3.85 Mathematics 0 3 2 5 27800.0 2
25 Female 2.19 Arts 4 2 1 4 49200.0 10
28 Female 3.01 Medicine 3 4 2 2 72200.0 7
26 Male 2.91 Arts 1 8 8 3 57400.0 1
22 Female 2.82 Business 4 3 10 5 62200.0 1
18 Female 3.67 Medicine 4 4 5 1 75000.0 10
20 Male 2.76 Law 2 2 9 4 56500.0 3
27 Female 2.13 Mathematics 2 1 3 4 44800.0 3
29 Male 2.13 Law 3 8 8 3 71800.0 9
25 Female 2.09 Law 3 7 4 4 64500.0 2
28 Other 2.82 Computer Science 3 10 7 4 39000.0 4
23 Male 3.44 Law 0 2 10 1 37300.0 3
25 Female 2.41 Engineering 1 8 10 1 49200.0 7
26 Female 3.29 Business 1 10 8 3 63500.0 6
21 Other 3.37 Computer Science 3 3 3 4 35400.0 9
18 Male 2.51 Medicine 2 7 3 5 52000.0 8
18 Female 3.2 Engineering 1 1 1 0 63600.0 2
27 Male 3.37 Computer Science 4 3 8 3 46300.0 3
21 Male 2.93 Business 0 9 2 5 54200.0 1
29 Male 2.67 Medicine 2 4 7 1 57300.0 8
24 Other 3.24 Business 0 1 7 0 61300.0 2
19 Female 3.96 Business 4 6 7 5 51200.0 4
20 Female 2.85 Medicine 1 1 4 5 48100.0 2
18 Female 2.78 Law 0 10 7 4 65200.0 2
22 Male 2.93 Arts 0 1 10 3 25000.0 3
18 Male 2.15 Business 0 2 8 3 62900.0 10
25 Male 3.11 Law 4 3 9 1 58800.0 5
18 Male 2.66 Mathematics 2 2 7 2 72900.0 8
28 Male 2.24 Medicine 2 8 6 2 58600.0 10
18 Male 2.93 Business 4 6 5 2 34400.0 2
19 Male 2.01 Arts 0 1 10 3 51500.0 5
19 Male 2.8 Mathematics 0 6 10 1 35300.0 4
29 Male 2.21 Medicine 3 1 7 1 67200.0 3
23 Male 2.05 Computer Science 1 9 10 2 25000.0 10
24 Other 3.65 Computer Science 1 3 2 0 26000.0 6
22 Female 3.83 Law 2 1 5 2 32000.0 9
18 Other 2.42 Computer Science 4 1 8 3 25600.0 8
18 Male 3.08 Engineering 0 2 6 0 45100.0 2
20 Male 2.56 Business 1 6 6 1 43700.0 1
19 Female 2.99 Business 4 1 1 4 62400.0 8
22 Male 2.87 Medicine 4 7 2 5 25000.0 5
29 Male 2.54 Engineering 0 4 3 0 42000.0 2
27 Male 3.4 Business 4 7 7 1 53900.0 10
23 Male 2.25 Medicine 1 4 10 0 36000.0 1
24 Male 2.11 Arts 3 4 6 2 25200.0 8
21 Male 3.54 Business 1 4 5 0 60600.0 8
24 Female 3.33 Law 3 10 9 0 58500.0 6
28 Male 3.0 Business 4 10 10 0 25000.0 5
25 Male 2.94 Arts 1 8 7 3 43600.0 5
28 Female 2.99 Arts 0 2 9 5 40800.0 6
18 Male 2.87 Business 4 8 3 3 77200.0 5
23 Male 2.79 Arts 0 10 8 5 25000.0 2
25 Female 3.0 Medicine 3 1 9 2 43300.0 7
22 Male 3.06 Business 2 7 2 4 61400.0 4
21 Male 3.38 Business 2 7 4 3 48200.0 7
19 Female 3.42 Computer Science 3 6 2 4 66100.0 1
23 Male 2.76 Law 2 4 7 3 25000.0 6
23 Female 2.83 Business 4 5 4 1 30700.0 2
28 Female 2.75 Mathematics 4 1 6 1 45300.0 3
18 Male 3.07 Computer Science 1 2 8 0 57300.0 3
26 Female 2.91 Arts 4 10 6 4 50100.0 10
29 Female 3.78 Law 2 7 4 0 59200.0 1
28 Male 3.39 Law 0 2 6 5 44900.0 5
23 Female 3.8 Arts 1 8 1 0 30400.0 8
20 Male 3.42 Medicine 0 7 6 3 58300.0 8
21 Female 3.94 Computer Science 2 10 10 3 27000.0 10
29 Male 3.27 Business 0 8 8 0 35500.0 7
28 Male 3.93 Computer Science 2 4 4 5 29500.0 7
21 Male 2.32 Arts 4 1 9 3 52700.0 8
20 Female 2.1 Arts 1 7 6 5 48800.0 8
27 Male 3.16 Mathematics 3 1 6 1 32900.0 5
20 Male 3.97 Medicine 2 7 4 1 38100.0 7
20 Male 2.84 Law 4 9 8 4 44700.0 2
21 Female 2.42 Law 0 5 5 1 59500.0 4
24 Female 3.04 Arts 4 2 1 5 50400.0 6
21 Female 3.3 Computer Science 0 1 7 0 54300.0 10
26 Female 2.63 Law 0 8 8 2 56500.0 3
18 Female 3.43 Mathematics 0 4 6 3 49700.0 2
25 Male 3.95 Mathematics 0 8 7 0 53200.0 1
24 Female 3.79 Business 1 2 7 3 47900.0 4
19 Female 2.58 Business 0 3 4 4 72100.0 2
25 Other 2.65 Computer Science 1 3 4 0 57900.0 3
18 Female 2.74 Medicine 3 4 1 0 77500.0 10
28 Male 2.79 Business 1 9 2 0 69000.0 6
29 Male 2.2 Computer Science 0 9 3 4 47000.0 10
26 Female 3.52 Computer Science 3 5 5 0 47000.0 3
26 Female 2.73 Arts 4 7 10 3 25100.0 3
19 Female 3.76 Law 1 9 9 2 33400.0 4
24 Female 3.85 Arts 4 1 5 0 65100.0 3
27 Female 2.05 Law 3 2 6 4 64400.0 6
20 Male 3.98 Medicine 1 6 7 4 25000.0 9
24 Female 3.42 Medicine 0 3 4 0 69700.0 8
29 Male 3.04 Medicine 1 7 8 4 67800.0 2
27 Male 2.78 Computer Science 0 5 6 1 66800.0 3
26 Male 3.04 Computer Science 2 10 1 5 57700.0 8
21 Female 2.65 Arts 1 8 6 4 57600.0 3
29 Male 3.25 Business 1 1 2 2 47200.0 5
18 Male 2.19 Mathematics 4 9 4 1 40500.0 9
19 Female 3.24 Law 4 10 4 3 67000.0 2
18 Male 2.55 Law 3 6 10 1 46100.0 9
29 Female 2.04 Medicine 0 5 10 2 25000.0 10
22 Female 3.11 Law 4 8 5 5 59300.0 5
22 Female 3.16 Engineering 3 4 10 1 34200.0 9
28 Female 2.85 Medicine 0 9 2 0 52300.0 4
24 Male 2.14 Mathematics 0 5 6 4 74900.0 8
26 Female 3.79 Law 0 1 3 0 81500.0 8
26 Male 3.22 Arts 2 8 9 0 60400.0 3
20 Female 2.23 Law 0 9 6 0 69700.0 5
20 Male 3.02 Computer Science 3 5 3 1 61200.0 10
20 Female 2.99 Arts 0 5 3 3 62100.0 1
21 Male 2.12 Arts 0 6 5 5 63800.0 6
25 Male 3.21 Arts 3 9 6 4 34000.0 9
23 Male 3.62 Engineering 1 5 4 1 30800.0 1
25 Male 3.5 Engineering 0 2 5 5 65200.0 2
18 Female 2.41 Law 3 3 3 0 54600.0 7
25 Male 3.72 Medicine 4 10 10 2 52400.0 6
21 Female 2.69 Law 3 3 4 2 42900.0 10
28 Other 3.89 Law 2 9 8 0 44600.0 3
18 Female 2.14 Law 4 8 8 3 68900.0 2
25 Male 2.97 Mathematics 1 6 1 5 37300.0 7
21 Male 3.19 Computer Science 1 5 4 4 50200.0 10
23 Female 2.5 Arts 3 10 2 5 38200.0 10
25 Male 3.54 Business 3 2 4 1 26700.0 5
21 Male 3.25 Mathematics 0 9 5 3 51600.0 6
20 Female 2.04 Medicine 0 10 1 2 61100.0 9
26 Female 3.22 Medicine 2 8 5 0 34100.0 7
20 Female 2.98 Arts 0 5 7 1 39300.0 4
26 Male 2.39 Medicine 3 6 5 3 32200.0 9
19 Female 3.99 Arts 3 9 7 5 52000.0 3
19 Male 3.79 Medicine 0 1 9 3 42700.0 4
19 Male 2.59 Law 2 4 8 3 25000.0 10
23 Female 3.08 Computer Science 3 5 1 5 44700.0 3
20 Male 2.63 Mathematics 2 9 10 1 65600.0 10
26 Male 3.55 Mathematics 3 5 10 4 67400.0 3
21 Male 3.86 Medicine 2 5 2 5 68100.0 1
18 Female 2.72 Mathematics 2 3 6 1 35100.0 5
21 Female 3.61 Medicine 2 8 5 5 32200.0 4
18 Female 3.0 Business 0 7 1 0 40300.0 9
22 Female 2.79 Mathematics 1 8 2 1 64600.0 4
21 Male 3.88 Computer Science 2 4 3 3 64100.0 3
25 Male 3.02 Mathematics 2 8 10 4 50000.0 6
25 Male 2.93 Law 3 10 5 4 66800.0 10
24 Male 3.34 Computer Science 1 4 7 0 59100.0 5
20 Female 2.52 Mathematics 3 1 6 0 42800.0 4
18 Female 2.65 Computer Science 3 4 3 2 44800.0 1
18 Male 3.86 Mathematics 2 5 6 2 31000.0 3
29 Male 3.36 Medicine 4 10 4 2 48100.0 4
28 Male 3.65 Engineering 1 8 3 1 40900.0 10
20 Male 2.54 Medicine 3 10 4 4 35000.0 8
23 Female 3.09 Arts 4 6 8 0 39000.0 9
24 Male 3.94 Mathematics 4 10 1 2 72400.0 8
23 Male 2.64 Business 3 5 3 0 43100.0 9
23 Female 2.32 Computer Science 2 3 10 2 73700.0 10
23 Male 3.02 Arts 0 4 8 1 50900.0 1
20 Female 2.78 Law 3 6 10 5 46600.0 1
23 Male 2.32 Arts 2 6 9 1 57800.0 3
25 Female 3.78 Engineering 1 6 3 3 25000.0 4
28 Other 3.98 Mathematics 2 2 9 0 81200.0 2
28 Female 3.14 Computer Science 4 8 10 5 64300.0 10
19 Male 3.55 Medicine 1 8 10 5 53100.0 7
22 Female 3.72 Computer Science 1 6 4 3 62200.0 9
18 Male 3.4 Business 0 4 4 5 50800.0 6
29 Male 2.09 Computer Science 0 2 7 1 40900.0 4
18 Male 2.32 Arts 3 6 6 5 49600.0 6
22 Male 2.14 Arts 2 6 10 1 43700.0 1
29 Female 2.02 Medicine 3 10 3 5 36500.0 6
20 Female 2.61 Medicine 0 3 8 5 44100.0 4
21 Female 2.78 Medicine 4 2 5 0 53200.0 3
20 Female 2.48 Law 0 4 2 3 55300.0 6
18 Female 2.13 Mathematics 2 8 10 5 71200.0 9
18 Male 3.06 Business 4 5 3 5 45400.0 8
29 Male 2.55 Law 3 3 7 3 39400.0 8
29 Female 3.59 Law 3 5 10 3 31100.0 9
22 Male 2.02 Law 0 9 9 0 56600.0 6
23 Female 3.69 Computer Science 0 8 1 0 71900.0 8
20 Male 3.91 Engineering 3 10 6 0 44100.0 7
29 Male 3.43 Mathematics 3 7 9 4 41600.0 1
26 Male 3.47 Computer Science 1 4 7 5 63000.0 6
22 Male 3.87 Medicine 2 2 3 1 34000.0 4
25 Male 2.42 Business 1 9 7 4 74300.0 3
18 Female 3.99 Law 1 3 2 4 48900.0 3
22 Male 3.55 Computer Science 3 6 10 1 55600.0 10
20 Female 3.45 Mathematics 2 7 2 5 50600.0 8
29 Male 2.72 Arts 3 3 1 2 25000.0 1
18 Male 3.09 Mathematics 1 3 3 2 49000.0 7
21 Male 3.31 Law 1 3 1 2 44300.0 10
22 Female 3.24 Mathematics 3 3 8 0 55800.0 4
24 Male 3.41 Computer Science 0 3 8 0 67100.0 1
18 Female 2.16 Arts 0 7 4 3 57400.0 2
20 Male 2.71 Computer Science 3 5 1 3 40000.0 7
19 Female 2.87 Computer Science 4 4 2 4 74700.0 10
26 Male 2.52 Law 4 6 2 3 50700.0 1
27 Female 2.35 Computer Science 0 8 2 0 69200.0 6
23 Female 2.28 Medicine 2 2 9 4 63200.0 4
27 Female 2.73 Mathematics 1 3 7 3 35100.0 3
20 Male 2.99 Arts 2 2 9 3 65900.0 7
25 Male 2.13 Business 0 7 10 2 63000.0 9
25 Male 3.89 Engineering 3 2 10 0 51200.0 5
19 Female 3.53 Mathematics 4 5 2 4 43300.0 6
23 Female 3.46 Law 0 10 5 1 62200.0 7
24 Female 2.35 Arts 2 9 1 5 64900.0 10
19 Male 3.21 Medicine 2 8 2 3 43900.0 6
28 Male 3.06 Arts 0 8 4 0 59100.0 6
27 Male 3.96 Business 1 3 10 4 45000.0 3
19 Other 3.5 Law 2 1 1 5 41800.0 3
27 Female 3.15 Arts 1 2 8 0 56500.0 5
18 Female 3.7 Mathematics 1 7 6 0 61800.0 7
25 Male 2.31 Medicine 3 4 1 4 57800.0 6
18 Female 2.03 Law 0 10 9 2 47900.0 2
26 Female 3.38 Medicine 0 5 1 5 32800.0 3
28 Male 2.2 Law 1 1 4 2 45400.0 5
23 Female 2.23 Engineering 3 2 5 3 55600.0 7
24 Female 3.49 Business 2 9 9 2 82300.0 6
27 Female 2.54 Engineering 2 6 2 3 35400.0 10
24 Female 3.26 Mathematics 0 7 9 3 48300.0 3
27 Male 3.83 Mathematics 1 5 1 4 47600.0 7
20 Male 2.63 Mathematics 3 9 4 0 25000.0 5
19 Other 2.43 Computer Science 3 10 7 1 41100.0 10
26 Male 2.21 Mathematics 2 5 4 1 32100.0 4
25 Female 2.26 Medicine 2 6 8 2 44000.0 6
29 Female 2.12 Engineering 4 10 7 4 72600.0 2
27 Female 2.18 Medicine 4 9 6 1 59800.0 7
24 Other 2.86 Law 1 5 5 0 52600.0 2
26 Male 2.64 Medicine 4 4 10 3 79200.0 7
21 Male 3.41 Computer Science 3 5 3 3 71100.0 8
21 Male 3.74 Medicine 4 5 8 4 38000.0 2
18 Male 3.57 Law 0 5 4 2 25000.0 8
25 Male 3.06 Law 0 1 8 0 25000.0 7
29 Male 2.2 Engineering 2 5 1 2 36800.0 3
20 Female 3.42 Mathematics 2 5 2 2 41500.0 7
24 Female 2.73 Business 1 1 2 4 73200.0 1
29 Male 2.17 Arts 0 4 6 3 68000.0 2
19 Male 3.68 Engineering 1 8 5 2 63800.0 5
19 Female 2.68 Computer Science 1 4 10 2 42400.0 9
24 Male 2.44 Arts 4 7 10 0 47200.0 1
23 Male 3.74 Medicine 2 6 7 5 43900.0 5
20 Male 3.8 Engineering 1 5 2 3 83100.0 6
26 Female 2.68 Arts 1 9 9 2 40600.0 3
27 Male 2.71 Mathematics 2 8 2 5 38100.0 5
23 Other 3.16 Mathematics 2 5 1 1 58500.0 2
27 Male 3.47 Engineering 0 10 2 5 35600.0 8
27 Female 2.13 Mathematics 2 7 3 1 58400.0 3
23 Male 3.19 Medicine 4 9 6 3 54300.0 5
18 Male 3.91 Law 0 7 7 3 38900.0 1
21 Female 2.52 Engineering 1 3 6 4 44800.0 5
27 Female 3.82 Computer Science 4 10 1 5 37300.0 1
23 Female 3.9 Arts 4 5 9 2 65200.0 9
23 Female 2.54 Arts 0 9 8 1 47800.0 2
28 Female 3.51 Arts 1 9 2 5 46800.0 6
29 Female 2.48 Engineering 0 8 1 1 62100.0 9
22 Female 3.48 Medicine 3 6 7 3 60100.0 3
18 Male 3.59 Engineering 3 7 3 3 53500.0 6
25 Male 2.49 Engineering 0 7 3 0 65700.0 1
22 Male 3.43 Mathematics 1 1 10 0 47700.0 7
29 Female 3.62 Law 1 8 9 3 36600.0 2
29 Male 2.72 Arts 2 6 2 0 52200.0 5
29 Male 2.34 Medicine 4 7 5 3 49500.0 5
22 Female 2.18 Business 0 10 4 5 71500.0 1
24 Female 3.15 Medicine 4 10 1 3 46000.0 7
21 Female 3.96 Mathematics 4 2 6 4 73900.0 4
23 Male 3.65 Engineering 3 7 6 0 31800.0 4
21 Female 2.87 Computer Science 3 8 1 2 46500.0 7
20 Male 3.07 Medicine 0 5 7 2 45300.0 10
24 Male 2.56 Arts 0 1 6 5 45200.0 1
25 Male 2.33 Computer Science 1 6 4 4 67100.0 6
21 Male 2.96 Business 0 3 7 2 43000.0 1
19 Male 2.93 Business 1 5 3 2 64900.0 6
29 Female 3.04 Computer Science 1 9 10 5 48700.0 10
27 Male 3.91 Mathematics 0 7 6 5 48500.0 2
20 Female 3.21 Business 1 8 6 4 29900.0 10
18 Female 3.21 Computer Science 4 6 10 1 68800.0 1
25 Male 2.26 Engineering 1 9 6 4 73000.0 8
20 Female 3.99 Computer Science 4 3 3 4 31300.0 7
29 Male 3.55 Engineering 4 1 10 0 74200.0 2
27 Female 3.75 Mathematics 4 10 5 2 28300.0 2
24 Male 2.83 Arts 2 4 1 2 47500.0 5
27 Male 3.0 Arts 2 8 6 1 48500.0 4
22 Male 3.04 Business 1 6 7 4 45500.0 4
27 Female 2.39 Law 0 7 5 3 66300.0 9
22 Female 3.38 Law 1 9 5 1 61200.0 1
24 Male 3.81 Computer Science 2 2 6 1 25000.0 10
26 Female 2.33 Mathematics 3 7 7 2 72100.0 9
29 Female 2.17 Engineering 3 4 4 2 75100.0 3
22 Female 3.48 Arts 1 7 7 2 60200.0 8
18 Female 2.55 Mathematics 2 8 5 2 44800.0 5
27 Female 3.25 Arts 4 2 7 1 53300.0 10
27 Female 3.39 Arts 2 7 1 5 45700.0 3
18 Female 2.64 Business 1 8 10 4 64700.0 9
19 Male 3.63 Arts 2 1 2 5 25000.0 9
23 Male 3.1 Law 3 10 2 5 56000.0 8
26 Male 3.74 Medicine 4 5 7 2 67300.0 3
25 Female 3.53 Business 1 9 9 0 46300.0 3
22 Female 3.74 Computer Science 1 2 7 1 58300.0 10
