Age Gender University_GPA Internships_Completed Soft_Skills_Score Networking_Score Job_Offers Starting_Salary Career_Satisfaction
25 Female 3.39 4 4 5 4 37600.0 2
20 Male 2.14 0 10 7 1 73700.0 1
18 Male 3.49 1 8 8 3 25000.0 2
21 Male 2.68 1 8 6 2 40400.0 3
19 Female 2.7 3 1 2 0 64600.0 3
25 Male 2.24 4 9 2 4 25000.0 8
21 Female 2.29 2 8 10 4 34300.0 4
19 Male 2.37 4 2 5 3 68900.0 1
23 Female 2.66 3 9 5 2 25000.0 2
23 Female 3.78 4 4 1 5 25000.0 9
27 Female 2.74 3 10 1 0 62600.0 2
21 Female 3.45 4 6 9 4 74400.0 9
23 Male 2.17 0 2 7 4 71500.0 5
19 Male 3.18 1 10 8 0 25000.0 4
27 Female 2.96 3 4 5 2 71900.0 4
29 Male 3.96 3 2 3 2 51200.0 3
19 Male 3.69 1 9 3 2 37900.0 2
27 Male 2.91 2 9 3 4 36000.0 8
21 Male 3.55 3 5 1 5 60500.0 6
25 Male 2.39 0 3 3 1 56600.0 9
24 Female 3.12 4 3 2 4 71100.0 2
29 Male 2.15 0 1 8 3 40600.0 1
26 Female 2.7 3 8 10 3 42700.0 8
25 Male 2.45 2 3 10 5 62100.0 8
22 Female 3.44 3 4 6 4 38100.0 5
19 Male 2.98 2 2 5 4 62300.0 2
22 Female 3.5 1 8 1 0 33300.0 10
25 Female 3.03 4 3 2 2 80600.0 5
27 Male 2.17 0 2 2 5 79900.0 8
26 Female 3.47 2 1 7 0 39000.0 4
29 Other 3.67 0 10 7 5 50900.0 2
29 Female 3.81 1 2 6 3 51800.0 3
29 Female 3.14 3 2 8 3 48000.0 3
26 Male 3.51 2 4 4 1 35000.0 9
18 Female 3.5 4 1 9 2 51600.0 3
26 Male 2.31 2 1 8 2 27800.0 1
24 Male 2.33 3 6 3 5 73000.0 7
26 Other 2.14 3 5 3 3 74000.0 1
25 Male 2.64 4 1 9 0 70200.0 6
18 Female 2.95 4 6 9 4 71300.0 10
29 Female 4.0 1 8 5 2 61100.0 4
25 Female 2.86 0 5 10 4 36400.0 7
25 Other 3.45 2 3 1 3 30300.0 7
28 Male 3.39 1 3 3 1 33900.0 7
20 Male 2.41 0 2 5 3 56800.0 6
18 Male 2.12 1 9 4 4 29900.0 7
25 Male 3.09 4 9 4 3 52600.0 8
20 Male 3.4 4 7 1 2 58300.0 3
20 Male 4.0 3 1 6 5 47200.0 5
18 Female 2.72 2 1 10 5 50600.0 10
28 Female 3.79 2 4 4 4 89100.0 9
22 Male 2.76 2 2 1 4 49500.0 8
27 Female 3.38 1 3 10 1 56100.0 6
24 Male 3.2 1 2 6 2 67600.0 9
27 Male 2.11 2 1 5 0 63600.0 10
26 Female 2.16 3 3 5 1 62500.0 5
29 Female 2.04 0 7 2 2 54100.0 2
24 Female 2.74 1 10 1 5 54200.0 9
26 Male 3.49 2 9 7 0 25000.0 5
25 Female 2.35 4 10 5 5 76000.0 8
29 Female 3.21 1 9 3 4 41100.0 8
19 Female 2.58 0 8 6 5 63200.0 4
18 Female 3.59 1 6 3 1 46500.0 4
24 Female 3.6 0 1 6 4 96700.0 1
24 Female 3.55 0 8 6 4 37600.0 5
25 Female 3.05 1 8 9 4 85500.0 9
22 Other 2.57 0 9 8 2 48100.0 5
20 Female 3.62 1 10 1 0 61000.0 5
29 Male 2.37 1 6 7 2 50300.0 6
25 Female 2.58 3 3 9 4 73800.0 6
23 Male 2.37 4 6 2 1 52000.0 8
28 Male 3.35 0 8 9 5 54800.0 1
20 Female 3.37 1 7 6 4 51500.0 5
18 Female 3.31 0 8 3 0 58500.0 9
20 Female 2.83 1 3 8 2 36100.0 3
22 Male 2.2 1 8 7 0 25000.0 7
20 Female 3.82 1 5 8 2 56900.0 7
18 Male 3.02 4 7 8 5 82000.0 10
22 Other 2.81 0 4 7 0 43800.0 3
27 Other 3.18 4 3 1 0 61500.0 7
24 Female 2.39 4 6 10 2 27800.0 3
24 Female 2.27 4 9 10 2 41700.0 6
28 Female 2.81 4 4 10 2 50700.0 8
26 Female 2.45 3 9 8 3 49600.0 8
27 Male 2.49 0 3 5 5 66800.0 6
27 Male 3.79 0 6 2 0 25000.0 2
29 Female 3.06 1 5 2 3 47500.0 1
20 Female 2.97 0 9 2 3 40600.0 3
24 Male 3.38 4 6 9 4 36300.0 3
18 Female 3.9 2 2 5 3 39000.0 7
21 Male 2.22 0 4 3 3 54100.0 4
21 Female 3.67 2 5 6 2 52200.0 2
22 Female 3.17 3 9 9 2 47100.0 2
24 Female 2.29 1 1 9 1 29700.0 7
24 Female 2.59 1 9 9 5 46000.0 8
28 Male 2.96 1 10 10 0 66900.0 5
21 Male 3.38 3 1 4 5 25400.0 2
24 Female 2.49 4 1 5 3 39300.0 3
28 Female 3.07 2 4 1 3 32800.0 1
20 Male 3.37 0 6 10 0 33400.0 10
23 Female 2.9 4 2 6 5 46400.0 4
29 Male 3.73 1 1 2 2 40400.0 7
19 Female 3.74 1 4 7 2 37100.0 10
27 Female 2.94 4 8 4 0 50300.0 9
26 Male 3.95 2 6 4 0 26500.0 3
22 Male 2.15 4 5 9 2 79900.0 4
23 Female 2.01 3 1 1 0 41500.0 6
29 Female 2.76 1 3 6 5 44400.0 1
29 Female 3.2 2 7 2 2 44900.0 5
29 Female 3.26 0 10 6 0 35500.0 10
29 Female 2.95 1 3 7 2 68800.0 5
21 Other 2.25 4 5 3 1 53900.0 10
28 Female 2.34 2 6 4 2 25000.0 9
27 Female 3.7 1 9 2 2 31400.0 9
24 Male 3.74 0 3 7 3 40300.0 1
29 Male 3.35 0 6 9 5 59500.0 3
26 Female 3.33 4 2 5 2 67900.0 4
24 Male 3.2 3 9 5 0 48000.0 1
18 Female 2.41 4 9 9 4 73800.0 9
18 Female 2.86 2 7 8 0 61600.0 2
26 Female 3.39 4 9 1 3 82200.0 5
28 Male 3.07 2 4 2 0 41600.0 3
26 Male 2.04 3 10 7 1 43900.0 4
21 Male 3.91 4 1 3 4 53200.0 4
26 Male 3.69 0 1 6 4 38900.0 2
20 Male 2.52 2 2 1 5 61700.0 2
24 Female 3.23 2 10 8 3 31500.0 8
23 Female 3.85 0 3 2 5 27800.0 2
25 Female 2.19 4 2 1 4 49200.0 10
28 Female 3.01 3 4 2 2 72200.0 7
26 Male 2.91 1 8 8 3 57400.0 1
22 Female 2.82 4 3 10 5 62200.0 1
18 Female 3.67 4 4 5 1 75000.0 10
20 Male 2.76 2 2 9 4 56500.0 3
27 Female 2.13 2 1 3 4 44800.0 3
29 Male 2.13 3 8 8 3 71800.0 9
25 Female 2.09 3 7 4 4 64500.0 2
28 Other 2.82 3 10 7 4 39000.0 4
23 Male 3.44 0 2 10 1 37300.0 3
25 Female 2.41 1 8 10 1 49200.0 7
26 Female 3.29 1 10 8 3 63500.0 6
21 Other 3.37 3 3 3 4 35400.0 9
18 Male 2.51 2 7 3 5 52000.0 8
18 Female 3.2 1 1 1 0 63600.0 2
27 Male 3.37 4 3 8 3 46300.0 3
21 Male 2.93 0 9 2 5 54200.0 1
29 Male 2.67 2 4 7 1 57300.0 8
24 Other 3.24 0 1 7 0 61300.0 2
19 Female 3.96 4 6 7 5 51200.0 4
20 Female 2.85 1 1 4 5 48100.0 2
18 Female 2.78 0 10 7 4 65200.0 2
22 Male 2.93 0 1 10 3 25000.0 3
18 Male 2.15 0 2 8 3 62900.0 10
25 Male 3.11 4 3 9 1 58800.0 5
18 Male 2.66 2 2 7 2 72900.0 8
28 Male 2.24 2 8 6 2 58600.0 10
18 Male 2.93 4 6 5 2 34400.0 2
19 Male 2.01 0 1 10 3 51500.0 5
19 Male 2.8 0 6 10 1 35300.0 4
29 Male 2.21 3 1 7 1 67200.0 3
23 Male 2.05 1 9 10 2 25000.0 10
24 Other 3.65 1 3 2 0 26000.0 6
22 Female 3.83 2 1 5 2 32000.0 9
18 Other 2.42 4 1 8 3 25600.0 8
18 Male 3.08 0 2 6 0 45100.0 2
20 Male 2.56 1 6 6 1 43700.0 1
19 Female 2.99 4 1 1 4 62400.0 8
22 Male 2.87 4 7 2 5 25000.0 5
29 Male 2.54 0 4 3 0 42000.0 2
27 Male 3.4 4 7 7 1 53900.0 10
23 Male 2.25 1 4 10 0 36000.0 1
24 Male 2.11 3 4 6 2 25200.0 8
21 Male 3.54 1 4 5 0 60600.0 8
24 Female 3.33 3 10 9 0 58500.0 6
28 Male 3.0 4 10 10 0 25000.0 5
25 Male 2.94 1 8 7 3 43600.0 5
28 Female 2.99 0 2 9 5 40800.0 6
18 Male 2.87 4 8 3 3 77200.0 5
23 Male 2.79 0 10 8 5 25000.0 2
25 Female 3.0 3 1 9 2 43300.0 7
22 Male 3.06 2 7 2 4 61400.0 4
21 Male 3.38 2 7 4 3 48200.0 7
19 Female 3.42 3 6 2 4 66100.0 1
23 Male 2.76 2 4 7 3 25000.0 6
23 Female 2.83 4 5 4 1 30700.0 2
28 Female 2.75 4 1 6 1 45300.0 3
18 Male 3.07 1 2 8 0 57300.0 3
26 Female 2.91 4 10 6 4 50100.0 10
29 Female 3.78 2 7 4 0 59200.0 1
28 Male 3.39 0 2 6 5 44900.0 5
23 Female 3.8 1 8 1 0 30400.0 8
20 Male 3.42 0 7 6 3 58300.0 8
21 Female 3.94 2 10 10 3 27000.0 10
29 Male 3.27 0 8 8 0 35500.0 7
28 Male 3.93 2 4 4 5 29500.0 7
21 Male 2.32 4 1 9 3 52700.0 8
20 Female 2.1 1 7 6 5 48800.0 8
27 Male 3.16 3 1 6 1 32900.0 5
20 Male 3.97 2 7 4 1 38100.0 7
20 Male 2.84 4 9 8 4 44700.0 2
21 Female 2.42 0 5 5 1 59500.0 4
24 Female 3.04 4 2 1 5 50400.0 6
21 Female 3.3 0 1 7 0 54300.0 10
26 Female 2.63 0 8 8 2 56500.0 3
18 Female 3.43 0 4 6 3 49700.0 2
25 Male 3.95 0 8 7 0 53200.0 1
24 Female 3.79 1 2 7 3 47900.0 4
19 Female 2.58 0 3 4 4 72100.0 2
25 Other 2.65 1 3 4 0 57900.0 3
18 Female 2.74 3 4 1 0 77500.0 10
28 Male 2.79 1 9 2 0 69000.0 6
29 Male 2.2 0 9 3 4 47000.0 10
26 Female 3.52 3 5 5 0 47000.0 3
26 Female 2.73 4 7 10 3 25100.0 3
19 Female 3.76 1 9 9 2 33400.0 4
24 Female 3.85 4 1 5 0 65100.0 3
27 Female 2.05 3 2 6 4 64400.0 6
20 Male 3.98 1 6 7 4 25000.0 9
24 Female 3.42 0 3 4 0 69700.0 8
29 Male 3.04 1 7 8 4 67800.0 2
27 Male 2.78 0 5 6 1 66800.0 3
26 Male 3.04 2 10 1 5 57700.0 8
21 Female 2.65 1 8 6 4 57600.0 3
29 Male 3.25 1 1 2 2 47200.0 5
18 Male 2.19 4 9 4 1 40500.0 9
19 Female 3.24 4 10 4 3 67000.0 2
18 Male 2.55 3 6 10 1 46100.0 9
29 Female 2.04 0 5 10 2 25000.0 10
22 Female 3.11 4 8 5 5 59300.0 5
22 Female 3.16 3 4 10 1 34200.0 9
28 Female 2.85 0 9 2 0 52300.0 4
24 Male 2.14 0 5 6 4 74900.0 8
26 Female 3.79 0 1 3 0 81500.0 8
26 Male 3.22 2 8 9 0 60400.0 3
20 Female 2.23 0 9 6 0 69700.0 5
20 Male 3.02 3 5 3 1 61200.0 10
20 Female 2.99 0 5 3 3 62100.0 1
21 Male 2.12 0 6 5 5 63800.0 6
25 Male 3.21 3 9 6 4 34000.0 9
23 Male 3.62 1 5 4 1 30800.0 1
25 Male 3.5 0 2 5 5 65200.0 2
18 Female 2.41 3 3 3 0 54600.0 7
25 Male 3.72 4 10 10 2 52400.0 6
21 Female 2.69 3 3 4 2 42900.0 10
28 Other 3.89 2 9 8 0 44600.0 3
18 Female 2.14 4 8 8 3 68900.0 2
25 Male 2.97 1 6 1 5 37300.0 7
21 Male 3.19 1 5 4 4 50200.0 10
23 Female 2.5 3 10 2 5 38200.0 10
25 Male 3.54 3 2 4 1 26700.0 5
21 Male 3.25 0 9 5 3 51600.0 6
20 Female 2.04 0 10 1 2 61100.0 9
26 Female 3.22 2 8 5 0 34100.0 7
20 Female 2.98 0 5 7 1 39300.0 4
26 Male 2.39 3 6 5 3 32200.0 9
19 Female 3.99 3 9 7 5 52000.0 3
19 Male 3.79 0 1 9 3 42700.0 4
19 Male 2.59 2 4 8 3 25000.0 10
23 Female 3.08 3 5 1 5 44700.0 3
20 Male 2.63 2 9 10 1 65600.0 10
26 Male 3.55 3 5 10 4 67400.0 3
21 Male 3.86 2 5 2 5 68100.0 1
18 Female 2.72 2 3 6 1 35100.0 5
21 Female 3.61 2 8 5 5 32200.0 4
18 Female 3.0 0 7 1 0 40300.0 9
22 Female 2.79 1 8 2 1 64600.0 4
21 Male 3.88 2 4 3 3 64100.0 3
25 Male 3.02 2 8 10 4 50000.0 6
25 Male 2.93 3 10 5 4 66800.0 10
24 Male 3.34 1 4 7 0 59100.0 5
20 Female 2.52 3 1 6 0 42800.0 4
18 Female 2.65 3 4 3 2 44800.0 1
18 Male 3.86 2 5 6 2 31000.0 3
29 Male 3.36 4 10 4 2 48100.0 4
28 Male 3.65 1 8 3 1 40900.0 10
20 Male 2.54 3 10 4 4 35000.0 8
23 Female 3.09 4 6 8 0 39000.0 9
24 Male 3.94 4 10 1 2 72400.0 8
23 Male 2.64 3 5 3 0 43100.0 9
23 Female 2.32 2 3 10 2 73700.0 10
23 Male 3.02 0 4 8 1 50900.0 1
20 Female 2.78 3 6 10 5 46600.0 1
23 Male 2.32 2 6 9 1 57800.0 3
25 Female 3.78 1 6 3 3 25000.0 4
28 Other 3.98 2 2 9 0 81200.0 2
28 Female 3.14 4 8 10 5 64300.0 10
19 Male 3.55 1 8 10 5 53100.0 7
22 Female 3.72 1 6 4 3 62200.0 9
18 Male 3.4 0 4 4 5 50800.0 6
29 Male 2.09 0 2 7 1 40900.0 4
18 Male 2.32 3 6 6 5 49600.0 6
22 Male 2.14 2 6 10 1 43700.0 1
29 Female 2.02 3 10 3 5 36500.0 6
20 Female 2.61 0 3 8 5 44100.0 4
21 Female 2.78 4 2 5 0 53200.0 3
20 Female 2.48 0 4 2 3 55300.0 6
18 Female 2.13 2 8 10 5 71200.0 9
18 Male 3.06 4 5 3 5 45400.0 8
29 Male 2.55 3 3 7 3 39400.0 8
29 Female 3.59 3 5 10 3 31100.0 9
22 Male 2.02 0 9 9 0 56600.0 6
23 Female 3.69 0 8 1 0 71900.0 8
20 Male 3.91 3 10 6 0 44100.0 7
29 Male 3.43 3 7 9 4 41600.0 1
26 Male 3.47 1 4 7 5 63000.0 6
22 Male 3.87 2 2 3 1 34000.0 4
25 Male 2.42 1 9 7 4 74300.0 3
18 Female 3.99 1 3 2 4 48900.0 3
22 Male 3.55 3 6 10 1 55600.0 10
20 Female 3.45 2 7 2 5 50600.0 8
29 Male 2.72 3 3 1 2 25000.0 1
18 Male 3.09 1 3 3 2 49000.0 7
21 Male 3.31 1 3 1 2 44300.0 10
22 Female 3.24 3 3 8 0 55800.0 4
24 Male 3.41 0 3 8 0 67100.0 1
18 Female 2.16 0 7 4 3 57400.0 2
20 Male 2.71 3 5 1 3 40000.0 7
19 Female 2.87 4 4 2 4 74700.0 10
26 Male 2.52 4 6 2 3 50700.0 1
27 Female 2.35 0 8 2 0 69200.0 6
23 Female 2.28 2 2 9 4 63200.0 4
27 Female 2.73 1 3 7 3 35100.0 3
20 Male 2.99 2 2 9 3 65900.0 7
25 Male 2.13 0 7 10 2 63000.0 9
25 Male 3.89 3 2 10 0 51200.0 5
19 Female 3.53 4 5 2 4 43300.0 6
23 Female 3.46 0 10 5 1 62200.0 7
24 Female 2.35 2 9 1 5 64900.0 10
19 Male 3.21 2 8 2 3 43900.0 6
28 Male 3.06 0 8 4 0 59100.0 6
27 Male 3.96 1 3 10 4 45000.0 3
19 Other 3.5 2 1 1 5 41800.0 3
27 Female 3.15 1 2 8 0 56500.0 5
18 Female 3.7 1 7 6 0 61800.0 7
25 Male 2.31 3 4 1 4 57800.0 6
18 Female 2.03 0 10 9 2 47900.0 2
26 Female 3.38 0 5 1 5 32800.0 3
28 Male 2.2 1 1 4 2 45400.0 5
23 Female 2.23 3 2 5 3 55600.0 7
24 Female 3.49 2 9 9 2 82300.0 6
27 Female 2.54 2 6 2 3 35400.0 10
24 Female 3.26 0 7 9 3 48300.0 3
27 Male 3.83 1 5 1 4 47600.0 7
20 Male 2.63 3 9 4 0 25000.0 5
19 Other 2.43 3 10 7 1 41100.0 10
26 Male 2.21 2 5 4 1 32100.0 4
25 Female 2.26 2 6 8 2 44000.0 6
29 Female 2.12 4 10 7 4 72600.0 2
27 Female 2.18 4 9 6 1 59800.0 7
24 Other 2.86 1 5 5 0 52600.0 2
26 Male 2.64 4 4 10 3 79200.0 7
21 Male 3.41 3 5 3 3 71100.0 8
21 Male 3.74 4 5 8 4 38000.0 2
18 Male 3.57 0 5 4 2 25000.0 8
25 Male 3.06 0 1 8 0 25000.0 7
29 Male 2.2 2 5 1 2 36800.0 3
20 Female 3.42 2 5 2 2 41500.0 7
24 Female 2.73 1 1 2 4 73200.0 1
29 Male 2.17 0 4 6 3 68000.0 2
19 Male 3.68 1 8 5 2 63800.0 5
19 Female 2.68 1 4 10 2 42400.0 9
24 Male 2.44 4 7 10 0 47200.0 1
23 Male 3.74 2 6 7 5 43900.0 5
20 Male 3.8 1 5 2 3 83100.0 6
26 Female 2.68 1 9 9 2 40600.0 3
27 Male 2.71 2 8 2 5 38100.0 5
23 Other 3.16 2 5 1 1 58500.0 2
27 Male 3.47 0 10 2 5 35600.0 8
27 Female 2.13 2 7 3 1 58400.0 3
23 Male 3.19 4 9 6 3 54300.0 5
18 Male 3.91 0 7 7 3 38900.0 1
21 Female 2.52 1 3 6 4 44800.0 5
27 Female 3.82 4 10 1 5 37300.0 1
23 Female 3.9 4 5 9 2 65200.0 9
23 Female 2.54 0 9 8 1 47800.0 2
28 Female 3.51 1 9 2 5 46800.0 6
29 Female 2.48 0 8 1 1 62100.0 9
22 Female 3.48 3 6 7 3 60100.0 3
18 Male 3.59 3 7 3 3 53500.0 6
25 Male 2.49 0 7 3 0 65700.0 1
22 Male 3.43 1 1 10 0 47700.0 7
29 Female 3.62 1 8 9 3 36600.0 2
29 Male 2.72 2 6 2 0 52200.0 5
29 Male 2.34 4 7 5 3 49500.0 5
22 Female 2.18 0 10 4 5 71500.0 1
24 Female 3.15 4 10 1 3 46000.0 7
21 Female 3.96 4 2 6 4 73900.0 4
23 Male 3.65 3 7 6 0 31800.0 4
21 Female 2.87 3 8 1 2 46500.0 7
20 Male 3.07 0 5 7 2 45300.0 10
24 Male 2.56 0 1 6 5 45200.0 1
25 Male 2.33 1 6 4 4 67100.0 6
21 Male 2.96 0 3 7 2 43000.0 1
19 Male 2.93 1 5 3 2 64900.0 6
29 Female 3.04 1 9 10 5 48700.0 10
27 Male 3.91 0 7 6 5 48500.0 2
20 Female 3.21 1 8 6 4 29900.0 10
18 Female 3.21 4 6 10 1 68800.0 1
25 Male 2.26 1 9 6 4 73000.0 8
20 Female 3.99 4 3 3 4 31300.0 7
29 Male 3.55 4 1 10 0 74200.0 2
27 Female 3.75 4 10 5 2 28300.0 2
24 Male 2.83 2 4 1 2 47500.0 5
27 Male 3.0 2 8 6 1 48500.0 4
22 Male 3.04 1 6 7 4 45500.0 4
27 Female 2.39 0 7 5 3 66300.0 9
22 Female 3.38 1 9 5 1 61200.0 1
24 Male 3.81 2 2 6 1 25000.0 10
26 Female 2.33 3 7 7 2 72100.0 9
29 Female 2.17 3 4 4 2 75100.0 3
22 Female 3.48 1 7 7 2 60200.0 8
18 Female 2.55 2 8 5 2 44800.0 5
27 Female 3.25 4 2 7 1 53300.0 10
27 Female 3.39 2 7 1 5 45700.0 3
18 Female 2.64 1 8 10 4 64700.0 9
19 Male 3.63 2 1 2 5 25000.0 9
23 Male 3.1 3 10 2 5 56000.0 8
26 Male 3.74 4 5 7 2 67300.0 3
25 Female 3.53 1 9 9 0 46300.0 3
22 Female 3.74 1 2 7 1 58300.0 10
18 Male 2.04 0 6 6 3 25000.0 10
24 Female 2.49 4 2 3 3 35700.0 3
22 Male 2.18 1 3 5 4 55900.0 6
23 Male 2.88 2 6 10 1 56800.0 2
24 Other 3.78 2 5 2 1 41300.0 9
20 Male 2.94 2 4 9 1 54600.0 2
29 Male 3.7 2 7 6 5 49200.0 10
27 Female 2.65 1 3 9 0 25000.0 8
20 Female 2.68 3 10 9 0 46500.0 10
22 Male 3.79 4 7 7 5 60900.0 4
23 Female 2.85 2 9 5 2 69900.0 4
26 Female 3.58 1 2 4 5 46400.0 5
29 Male 2.47 1 5 1 3 55800.0 1
22 Male 3.9 2 1 9 5 52600.0 4
18 Female 3.15 0 7 6 0 58000.0 6
21 Male 3.52 1 2 2 3 40300.0 10
22 Female 2.18 4 5 7 5 48900.0 2
29 Female 2.99 4 1 6 1 58200.0 3
27 Other 3.8 0 1 4 0 56000.0 4
27 Male 3.75 1 4 6 3 59100.0 3
22 Other 2.09 0 7 6 0 62000.0 9
24 Male 2.61 1 7 5 1 52400.0 6
21 Male 2.89 1 8 1 1 54500.0 5
18 Male 2.34 0 9 3 1 41500.0 5
22 Male 3.46 3 4 7 2 62900.0 2
24 Female 2.37 2 2 2 5 33800.0 9
27 Male 2.69 2 10 10 3 59300.0 2
27 Male 3.33 2 10 10 2 52000.0 5
23 Female 2.96 0 3 1 4 39300.0 7
22 Male 3.48 1 9 8 4 39900.0 3
21 Female 3.92 1 8 7 0 53200.0 8
19 Male 2.23 4 6 6 0 46300.0 5
21 Female 3.42 1 3 10 0 43600.0 10
27 Female 2.46 3 10 5 2 56300.0 3
27 Male 2.83 2 8 6 5 25000.0 3
20 Male 2.07 3 2 1 1 51400.0 3
27 Male 2.27 2 4 9 0 44400.0 3
18 Female 2.64 0 4 1 0 31600.0 4
25 Male 2.68 3 9 4 5 44900.0 10
22 Male 3.8 1 8 3 4 30300.0 1
21 Male 3.48 2 7 4 1 67700.0 3
25 Male 3.94 4 4 1 2 60800.0 10
24 Female 3.2 3 7 10 5 62400.0 10
19 Female 2.48 0 1 4 1 57700.0 5
18 Male 2.66 4 8 4 4 25000.0 8
29 Male 2.64 0 8 3 2 32300.0 8
28 Female 2.65 2 9 8 3 63400.0 9
21 Female 3.35 3 9 7 0 79600.0 9
25 Male 3.06 0 1 9 2 55600.0 6
29 Male 2.77 4 10 2 4 70800.0 10
19 Male 2.3 4 7 10 1 37800.0 7
20 Female 2.04 1 1 3 2 40600.0 4
29 Male 2.44 0 6 6 4 60000.0 3
18 Female 2.21 3 5 2 5 38000.0 3
18 Female 3.57 3 2 2 2 25800.0 2
20 Female 2.22 1 3 10 0 61200.0 8
28 Male 3.45 4 8 2 5 39200.0 7
22 Male 2.77 0 2 2 1 25000.0 8
29 Male 2.15 4 4 5 5 67400.0 6
20 Male 3.63 0 3 1 1 57600.0 10
18 Female 3.16 0 7 7 2 60500.0 10
18 Other 2.47 0 8 1 5 61400.0 5
25 Female 3.79 4 4 1 4 64600.0 1
27 Female 2.09 4 6 5 0 57500.0 8
28 Male 2.4 4 3 7 0 27700.0 2
29 Male 3.5 2 7 3 2 33700.0 1
29 Male 3.42 4 8 7 3 65100.0 9
19 Female 2.58 1 7 9 5 58600.0 8
20 Female 2.12 2 4 4 2 48000.0 9
19 Female 3.72 0 10 5 5 25000.0 5
20 Male 2.63 3 9 8 0 37400.0 3
24 Male 2.39 2 10 9 5 45400.0 8
18 Female 3.03 2 8 5 1 38700.0 4
27 Male 3.82 0 6 5 2 34300.0 1
25 Female 2.09 4 2 2 2 55000.0 9
27 Female 3.53 4 10 9 1 72000.0 4
27 Female 3.14 2 7 6 5 59600.0 2
27 Male 2.85 4 9 5 2 42900.0 10
19 Male 3.49 2 9 5 4 49000.0 3
20 Male 3.93 3 9 4 1 59200.0 6
26 Male 2.46 3 9 1 1 41000.0 9
24 Male 2.29 0 6 6 5 53200.0 6
21 Female 3.83 1 1 1 1 44700.0 4
27 Female 3.34 1 6 10 0 44300.0 1
22 Male 2.88 4 5 2 2 26200.0 2
19 Male 3.15 1 7 7 3 50700.0 7
28 Male 3.49 3 8 1 2 56100.0 3
25 Male 3.55 0 1 8 2 62700.0 2
21 Female 3.84 3 10 8 0 25000.0 6
26 Male 2.85 2 4 7 4 64300.0 4
22 Male 2.59 4 4 7 4 60900.0 1
26 Male 3.28 4 1 1 0 72100.0 9
21 Female 2.83 1 4 3 0 44500.0 9
